ndate;c4_q;c5_q;c6_q;c7_q;c8_q;rtp;T;P;U;ff;ff10;Td;RRR;Wg;so2_n;so2_m;so2_ug
2017-11-10 23:28:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0113307535958787;0;0.40599998831749
2017-11-10 23:30:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0100514510646462;0;0.40599998831749
2017-11-10 23:32:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0105499944727247;0;0.40599998831749
2017-11-10 23:34:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0100497708190233;0;0.40599998831749
2017-11-10 23:36:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0116541710759824;0;0.40599998831749
2017-11-10 23:38:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.01072378399161;0;0.40599998831749
2017-11-10 23:40:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0102575159476449;0;0.40599998831749
2017-11-10 23:42:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0105800926995774;0;0.40599998831749
2017-11-10 23:44:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0120348390424624;0;0.40599998831749
2017-11-10 23:46:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0116790278814733;0;0.40599998831749
2017-11-10 23:48:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0112262486247346;0;0.40599998831749
2017-11-10 23:50:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0111356574809179;0;0.40599998831749
2017-11-10 23:52:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00957817332819104;0;0.40599998831749
2017-11-10 23:54:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0112697604189937;0;0.40599998831749
2017-11-10 23:56:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0146081825718284;0;0.40599998831749
